Especie	Santa_Martha1	San_Martin1	Pajapan1	Santa_Martha2	San_Martin2	Pajapan2
Amazilia_candida	6	27	7	2	0	0
Amazona_auturnalis	0	3	0	1	0	0
Anabacertia_varigaticeps	7	41	12	3	9	7
Arremon_bruneinucha	0	25	0	2	0	0
Attila_spadiceus	1	0	7	2	0	5
Automolus_acrolaemus	9	22	0	4	0	0
Basileuterus_rufifrons	8	14	0	6	0	0
Campylopterus_curvipennis	7	11	7	6	0	4
Catharus_mexicanus	6	17	7	4	0	6
Chlorospingus_curvipenis	7	0	0	0	0	0
Clorospingus_flavopectus	0	45	9	0	5	11
Crax_rubra	0	0	6	0	2	4
Cyanocorx_incas	0	18	0	0	0	0
Dumetella_carolinensis	0	12	0	0	3	0
Geotrigon_carrikeri	0	22	0	0	0	0
Henicorhina_leucosticta	8	39	19	12	13	12
Lepidocolaptes_afinis	6	7	7	6	11	6
Leptotila_plumbeiceps	5	18	10	0	0	15
Momotus_momota	3	15	9	5	0	13
Myadestes_unicolor	6	44	10	2	8	13
Myarchus_tuberculifer	2	7	10	0	7	11
Phaethornis_superciliosus	0	3	2	1	0	0
Pheugopedius_maculipectus	0	8	8	0	0	7
Psilorhinus_morio	0	0	10	0	0	9
Ramphastus_sulfuratus	0	23	11	0	0	8
Sittasomus griseicapillus	8	8	0	3	0	0
Strix_virgata	0	12	0	0	0	0
Tityra_semifaciata	2	6	0	0	2	0
Trogon_collaris	6	15	6	5	4	0
Veniliornis_fumigatus	8	6	0	0	0	0
Xiphorhinchus_flavigaster	4	15	14	6	8	9
Amazilia_yucatanensis	0	0	0	1	0	0
Amazilia candida	0	0	0	1	0	0
Aratinga_nana	0	0	0	2	0	0
Dendroica_virens	0	0	0	3	0	0
Falco_sparverius	0	0	0	0	1	1
